,category,text
0,tech,talked-about technologies ces digital personal video recorders (dvr pvr). built-in high-definition tv sets big business japan slower europe lack high-definition programming. reality broadband connections anybody producer content. suit panel recognised. reflect increasing trend freeing multimedia people watch want want.
1,business,david myers comments questioning defence lawyers arguing mr ebbers responsible worldcom s problems. mr myers pleaded guilty fraud assisting prosecutors. know mr ebbers accounting entry worldcom books mr weingarten pressed.
2,sport,anybody involved process way away going stage tigers boss john wells told bbc radio leicester. m sure step league union involved centre said wells.
3,sport,arsenal drawn home stoke chelsea play host scunthorpe. number premiership teams face difficult away games championship sides weekend 8/9 january.
4,entertainment,took $40.8m (£21m) weekend ticket sales according studio estimates. s fun good holiday movie said dan fellman president distribution warner bros.
5,politics,mr hain claim tory tactics anti-terror debate. accused tory leader behaving like attack mongrel playing opposition opposition sake . mr howard said party plans immigration quotas focus media coverage racist - common sense . helped win famous election - election transformed country better .
6,politics,andrew marr says mr blair ask queen 4 5 april dissolve parliament end week. government needs finance covering budget plans passed commons closes business end session 7 april.
7,sport,croatian eighth seed booked place 7-5 6-4 victory british number one. ljubicic hit break seal fourth straight win henman.
8,sport,wilkinson played injuring bicep 17 october took full-contact training newcastle falcons wednesday.
9,entertainment,told tv 60 minutes revenge sith darkest violent series. lucas predicted film rating advising parents scenes unsuitable under-13s.
10,entertainment,sophie scholl - final days portrays final days member white rose movement. scholl members white rose resistance group started distributing anti-nazi leaflets summer 1942.
11,business,virgin blue said profits tax year march 10% 15% lower previous year.
12,business,freezing temperatures heavy snowfall increased demand heating fuel stocks low. barrel crude oil closed $2.80 $51.15 new york tuesday. brent crude rose london trading adding $1.89 $48.62 close. opec closely watches global stocks ensure excessive supply market.
13,politics,mr hague 43 told daily telegraph life dominated politics boring unfulfilling. asked stand leadership mr hague replied: no. cabinet leader party branch things...it liberating feeling.
14,sport,woken nights dreaming day said moya. helps reach goals obsessed. great way finish year said nadal afterwards. roddick left frustrated losing singles slow clay seville s olympic stadium. s tough felt like time clay-courters world said american.
15,business,lg card threatened collapse huge debts firm s creditors parent stepped rescue it. consortium creditors lg group family owned conglomerate $480m stabilise firm.
16,politics,controversial issue feature recent presidential election george bush opposed extending it. use embryonic stem cells uk allowed. added: course stem cells recent discovery. mr howard remarks speech westminster conservative national women s committee ambitions values.
17,sport,american spent days lta s annual elite performance winter camp la manga earlier week. want use jimmy number weeks year hope beginning good long-term relationship. impressed coaches way kids went workouts feeling practice had. stake reputation s going successful connors agreed commentate bbc year s wimbledon championships.
18,business,deal create world s biggest bank assets 189 trillion yen ($1.8 trillion). sumitomo japan s third-largest bank tabled higher offer ufj rival valuing company $35bn.
19,tech,games maker fights survival britain s largest independent game makers argonaut games sale. argonaut making games 18 years largest independent games developers uk. lot people suspected argonaut trouble time told bbc news online. argonaut called administrators david rubin & partners friday way rescue company collapse.
20,tech,security warning fbi virus federal bureau investigation warning virus spread e-mails purport fbi. questionnaire attachment contains virus infects recipient s according agency. users warned open attachment unsolicited e-mails people know.
21,tech,9 november traffic explosion continued december said sandvine. gamers want play online create clan team compare.
22,sport,bates seals takeover ken bates completed takeover leeds united. revealed plan buy leeds elland road stadium thorp arch training ground course. light end long tunnel. outgoing directors agreed leave loans £4.5m company years. dea l money current board.
23,sport,cole faces lengthy injury lay-off aston villa s carlton cole weeks knee injury. won t able tell need operation maybe week.
24,tech,good sound small device sound buzzing bee jumps left right disappearing head. firms am3d srs offer stereo-widening technology mobile phones. sonaptic hopes technology big impact growing market mobile gaming music downloading. want impact media running - movie game watching tv - want immersive technology help. knew japan place handsets use technology.
25,sport,spaniard donated £28 000 prize money relief efforts victims asian tsunami. atp announced contribute us$25 000 tournament fee unicef s emergency relief fund tamil nadu.
26,entertainment,star presented award martin scorsese directed oscar-nominated movie aviator. retrospective movies shown.
27,tech,mobile gig aims rock 3g forget going crowded bar enjoy gig latest darlings music press. 1 000 fans london-based band pay pounds ticket need 3g handset. looking long people stay average streams. actually expect people dip mobile things.
28,politics,comes law lords ruled detention 12 foreign terror suspects trial breached human rights. british citizens included changes law lords said current powers discriminatory foreign suspects. accepted law lords ruling argued detention powers helped prevent attacks deter terrorists. warned: history internment generally backfired resentment creates.
29,entertainment,hill suffering cancer co-wrote 1978 film starred jamie lee curtis babysitter terrorised psychopath. carpenter said working hill greatest experiences life . time death working film men pulled rubble twin towers following 11 september terror attacks 2001. co-producing remake fog release early year.
30,politics,mrs parker bowles title hrh duchess cornwall civil ceremony held windsor castle. queen duke edinburgh said news happy . clarence house staff pains point attended events private capacity.
31,tech,people excited new software released especially program game music movie player. july year according websidestory internet explorer 95% web surfers. instance firefox allows pages different websites arranged tabs users switch easily them. mozilla foundation open source organisation means creators browser happy play core code program. ad run three-week period late november/early december.
32,entertainment,one-off christmas special star television presenter carol smillie jessica taylor liberty-x. judges 50% vote decide wins contest ice rink audience making rest vote.
33,entertainment,mtv s osbournes rock star ozzy osbourne said family episodes reality tv osbournes. wife sharon appears popular mtv based osbournes family life agreed. driving force osbournes ran series earning family reported $85m (£46m).
34,business,executives american international group (aig) marsh & mclennan latest. admitted felony count scheming defraud faces years prison.
35,politics,sayeed stand tory mp tory mp jonathan sayeed stand grounds ill health. mr sayeed denied claims saying suspension unjust wrong unreserved apology mps commons chamber.
36,tech,thousands people queued hours hold 200 000 psps shipped retailers.
37,entertainment,run-down house seattle moved wholesale local authorities demanding moved site. mr goldman calling authority pay building seattle s central district hendrix grew up.
38,politics,debate needed donations cap cap donations political parties introduced elections watchdog said. fears big donors buy political favours sparked calls limit. suggests new ways boosting election campaigning seen way improving voter turnout. research shown people want informed party politics want politicians visible accessible.
39,business,figures confounded hopes 0.2% expansion fourth quarter europe s biggest economy. effect depress prospects 12-nation eurozone germany.
40,politics,serial truants 13 pupils. thought nearly half million children skip school day. serial truants avoid classroom despite government schemes costing £885m. new measures come national truancy sweeps - sixth place monday.
41,sport,seed federer looked course easy victory thumped eighth seed 6-1 set. took way 6-1 3-1 0-30 serve ran away it. chance s positive twice weeks chance roger win match.
42,business,figure means annual rate increase uk 10.2% lowest rate june 2001. homeowners expect house prices rise 1% months mr bannister said. think key bank expects happen housing market. house prices risen 0.9% year nationwide said pace increase persists prices rise 6% year december.
43,sport,22-year-old scot finished fourth 60m hurdles jose m cagigal memorial meeting madrid. got poor start - felt ran faster.
44,tech,wolong nature reserve sichuan province southwest china home 20% remaining 1 500 giant pandas world. broadband wireless network installed reserve allowed staff chronicle pandas daily activities. data images shared colleagues world.
45,entertainment,cultural output thrive needs kind state input said. kapranos warned musicians closely linked mps university edinburgh event. kapranos said general hostility classical music adding: little break hostility classic fm. s going great actually exercise brain tonight. people lucky pursue passion pay cheque shouldn t looking government subsidies. yes government fund music - brings joy masses. feel extent role provide conditions talent flourish let there. government gets hand private sector destroy creative possibly controversial avenues artist pursues.
46,politics,praised celtic rangers work tackling problem. week ms jamieson minister jack mcconnell met supporters representatives clubs discuss issue. praising celtic rangers efforts said: t think doubt seen positive moves clubs.
47,politics,parties stick rules ensuring calls marketing - instance asking people s voting intentions. lib dems asking watchdog overseeing rules stop calls. said: apply tps line law. mr jones said watchdog received complaints issue.
48,politics,england children s tsar appointed children s commissioner england appointed. prof aynsley-green national clinical director children department health.
49,business,nikkei index leading shares gained 7.6% year close 11 488.76 points. despite traders expect strength global economy benefit japan close sliding recession recent months.
